index,full_name,short_name,description,output_type
1,ee.Algorithms.CannyEdgeDetector,ee.Algorithms.CannyEdgeDetector,"Applies the Canny edge detection algorithm to an image. The output is an image whose bands have the same names as the input bands, and in which non-zero values indicate edges, and the magnitude of the value is the gradient magnitude.",Image
2,ee.Algorithms.Collection,ee.Algorithms.Collection,Returns a Collection containing the specified features.,FeatureCollection
3,ee.Algorithms.CrossCorrelation,ee.Algorithms.CrossCorrelation,"Gives information on the quality of image registration between two (theoretically) co-registered images. The input is two images with the same number of bands. This function outputs an image composed of four bands of information. The first three are distances: the deltaX, deltaY, and the Euclidean distance for each pixel in imageA to the pixel which has the highest corresponding correlation coefficient in imageB. The fourth band is the value of the correlation coefficient for that pixel [-1 : +1].",Image
4,ee.Algorithms.Date,ee.Algorithms.Date,Creates a Date.,Date
5,ee.Algorithms.Describe,ee.Algorithms.Describe,Describes an object using a simple JSON-compatible structure.,Object
6,ee.Algorithms.Dictionary,ee.Algorithms.Dictionary,Constructs a dictionary.,Dictionary
7,ee.Algorithms.FMask.fillMinima,ee.Algorithms.FMask.fillMinima,Fills local minima.  Only works on INT types.,Image
8,ee.Algorithms.FMask.matchClouds,ee.Algorithms.FMask.matchClouds,"Runs the FMask cloud and shadow matching.  Outputs a single band ('csm'), containing the computed cloud and shadow masks.",Image
9,ee.Algorithms.Feature,ee.Algorithms.Feature,Returns a Feature composed of the given geometry and metadata.,Feature
10,ee.Algorithms.GeometryConstructors.BBox,ee.Algorithms.GeometryConstructors.BBox,Constructs a rectangle whose edges are lines of latitude and longitude.,Geometry
11,ee.Algorithms.GeometryConstructors.LineString,ee.Algorithms.GeometryConstructors.LineString,Constructs a LineString from the given coordinates.,Geometry
12,ee.Algorithms.GeometryConstructors.LinearRing,ee.Algorithms.GeometryConstructors.LinearRing,"Constructs a LinearRing from the given coordinates, automatically adding the first point at the end if the ring is not explicitly closed.",Geometry
13,ee.Algorithms.GeometryConstructors.MultiGeometry,ee.Algorithms.GeometryConstructors.MultiGeometry,Constructs a MultiGeometry from the given list of geometry elements.,Geometry
14,ee.Algorithms.GeometryConstructors.MultiLineString,ee.Algorithms.GeometryConstructors.MultiLineString,Constructs a MultiLineString from the given coordinates.,Geometry
15,ee.Algorithms.GeometryConstructors.MultiPoint,ee.Algorithms.GeometryConstructors.MultiPoint,Constructs a MultiPoint from the given coordinates.,Geometry
16,ee.Algorithms.GeometryConstructors.MultiPolygon,ee.Algorithms.GeometryConstructors.MultiPolygon,Constructs a MultiPolygon from the given coordinates.,Geometry
17,ee.Algorithms.GeometryConstructors.Point,ee.Algorithms.GeometryConstructors.Point,"Constructs a new Point from the given x,y coordinates.",Geometry
18,ee.Algorithms.GeometryConstructors.Polygon,ee.Algorithms.GeometryConstructors.Polygon,Constructs a Polygon from the given coordinates.,Geometry
19,ee.Algorithms.GeometryConstructors.Rectangle,ee.Algorithms.GeometryConstructors.Rectangle,Constructs a rectangular polygon from the given corner points.,Geometry
20,ee.Algorithms.HillShadow,ee.Algorithms.HillShadow,"Creates a shadow band, with output 1 where pixels are illumunated and 0 where they are shadowed. Takes as input an elevation band, azimuth and zenith of the light source in degrees, a neighborhood size, and whether or not to apply hysteresis when a shadow appears. Currently, this algorithm only works for Mercator projections, in which light rays are parallel.",Image
21,ee.Algorithms.HoughTransform,ee.Algorithms.HoughTransform,"Applies the Hough transform to an image. For every input band, outputs a band where lines are detected by thresholding the Hough transform with a value of lineThreshold. The output band is named [input]_lines, where [input] is the name of the original band. The defaults provided for the parameters are intended as a starting point for use with UINT8 images.",Image
22,ee.Algorithms.If,ee.Algorithms.If,"Selects one of its inputs based on a condition, similar to an if-then-else construct.",Object
23,ee.Algorithms.Image.Segmentation.GMeans,ee.Algorithms.Image.Segmentation.GMeans,"Performs G-Means clustering on the input image. Iteratively applies k-means followed by a normality test to automatically determine the number of clusters to use. The output contains a 'clusters' band containing the integer ID of the cluster that each pixel belongs to. The algorithm can work either on a fixed grid of non-overlapping cells (gridSize, which can be smaller than a tile) or on tiles with overlap (neighborhoodSize). The default is to use tiles with no overlap. Clusters in one cell or tile are unrelated to clusters in another. Any cluster that spans a cell or tile boundary may receive two different labels in the two halves. Any input pixels with partial masks are fully masked in the output. This algorithm is only expected to perform well for images with a narrow dynamic range (i.e. bytes or shorts).",Image
24,ee.Algorithms.Image.Segmentation.KMeans,ee.Algorithms.Image.Segmentation.KMeans,"Performs K-Means clustering on the input image. Outputs a 1-band image  containing the ID of the cluster that each pixel belongs to.  The algorithm can work either on a fixed grid of non-overlapping cells (gridSize, which can be smaller than a tile) or on tiles with overlap (neighborhoodSize). The default is to use tiles with no overlap.  Clusters in one cell or tile are unrelated to clusters in another.  Any cluster that spans a cell or tile boundary may receive two different labels in the two halves.  Any input pixels with partial masks are fully masked in the output.",Image
25,ee.Algorithms.Image.Segmentation.SNIC,ee.Algorithms.Image.Segmentation.SNIC,"Superpixel clustering based on SNIC (Simple Non-Iterative Clustering). Outputs a band of cluster IDs and the per-cluster averages for each of the input bands. If the 'seeds' image isn't provided as input, the output will include a 'seeds' band containing the generated seed locations. See: Achanta, Radhakrishna and Susstrunk, Sabine, 'Superpixels and Polygons using Simple Non-Iterative Clustering', CVPR, 2017.",Image
26,ee.Algorithms.Image.Segmentation.seedGrid,ee.Algorithms.Image.Segmentation.seedGrid,Selects seed pixels for clustering.,Image
27,ee.Algorithms.IsEqual,ee.Algorithms.IsEqual,Returns whether two objects are equal.,Boolean
28,ee.Algorithms.Landsat.TOA,ee.Algorithms.Landsat.TOA,Calibrates Landsat DN to TOA reflectance and brightness temperature for Landsat and similar data. For recently-acquired scenes calibration coefficients are extracted from the image metadata; for older scenes the coefficients are derived from:,Image
29,ee.Algorithms.Landsat.calibratedRadiance,ee.Algorithms.Landsat.calibratedRadiance,Calibrates each band of an image by applying linear transformation with slope  and y-intercept ; these values are extracted from the image metadata.,Image
30,ee.Algorithms.Landsat.pathRowLimit,ee.Algorithms.Landsat.pathRowLimit,"Limits requests to an ImageCollection of Landsat scenes to return a controllable number of the best scenes for each request. This is intended for use with statistical algorithms like median composites that need a certain amount of good data to perform well, but that do not benefit substantially from additional data beyond that while becoming needlessly expensive.  The default arguments select approximately one year's worth of good data.",ImageCollection
31,ee.Algorithms.Landsat.simpleCloudScore,ee.Algorithms.Landsat.simpleCloudScore,"Computes a simple cloud-likelihood score in the range [0,100] using a combination of brightness, temperature, and NDSI.  This is not a robust cloud detector, and is intended mainly to compare multiple looks at the same point for  cloud likelihood.",Image
32,ee.Algorithms.Landsat.simpleComposite,ee.Algorithms.Landsat.simpleComposite,Computes a Landsat TOA composite from a collection of raw Landsat scenes.  It applies standard TOA calibration and then assigns a cloud score to each pixel using the SimpleLandsatCloudScore algorithm. It selects the lowest possible range of cloud scores at each point and then computes per-band percentile values from the accepted pixels.  This algorithm also uses the LandsatPathRowLimit algorithm to select only the least-cloudy scenes in regions where more than maxDepth input scenes are available.,Image
33,ee.Algorithms.ObjectType,ee.Algorithms.ObjectType,Returns a string representing the type of the given object.,String
34,ee.Algorithms.ProjectionTransform,ee.Algorithms.ProjectionTransform,Transforms the geometry of a feature to a specific projection.,Feature
35,ee.Algorithms.Sentinel2.CDI,ee.Algorithms.Sentinel2.CDI,"Computes the Cloud Displacement Index (CDI) from a Sentinel-2 Level 1C image. CDI is a measure of the optical separation in elevated objects due to sensor parallax. Returns a floating point band named ""cdi"".",Image
36,ee.Algorithms.String,ee.Algorithms.String,Converts the input to a string.,String
37,ee.Algorithms.TemporalSegmentation.Ccdc,ee.Algorithms.TemporalSegmentation.Ccdc,"Implements the Continuous Change Detection and Classification temporal breakpoint algorithm.  This algorithm finds temporal breakpoints in an image collection by iteratively fitting harmonic functions to the data.  Fit coefficients are produced for all input bands, but the bands used for breakpoint detection can be specified with the 'breakpointBands' argument.",Image
38,ee.Algorithms.TemporalSegmentation.Ewmacd,ee.Algorithms.TemporalSegmentation.Ewmacd,Exponentially Weighted Moving Average Change Detection. This algorithm computes a harmonic model for the 'training' portion of the input data and subtracts that from the original results.  The residuals are then subjected to Shewhart X-bar charts and an exponentially weighted moving average.  Disturbed pixels are indicated when the charts signal a deviation from the given control limits.,Image
39,ee.Algorithms.TemporalSegmentation.LandTrendr,ee.Algorithms.TemporalSegmentation.LandTrendr,"Landsat-based detection of Trends in Disturbance and Recovery: temporally segments a time-series of images by extracting the spectral trajectories of change over time. The first band of each image is used to find breakpoints, and those breakpoints are used to perform fitting on all subsequent bands. The breakpoints are returned as a 2-D matrix of 4 rows and as many columns as images. The first two rows are the original X and Y values. The third row contains the Y values fitted to the estimated segments, and the 4th row contains a 1 if the corresponding point was used as a segment vertex or 0 if not. Any additional fitted bands are appended as rows in the output. Breakpoint fitting assumes that increasing values represent disturbance and decreasing values represent recovery.",Image
40,ee.Algorithms.TemporalSegmentation.LandTrendrFit,ee.Algorithms.TemporalSegmentation.LandTrendrFit,"Interpolates a time series using a set of LandTrendr breakpoint years. For each input band in the timeSeries, outputs a new 1D array-valued band containing the input values interpolated between the breakpoint times identified by the vertices image.  See the LandTrendr Algorithm for more details.",Image
41,ee.Algorithms.TemporalSegmentation.StructuralChangeBreakpoints,ee.Algorithms.TemporalSegmentation.StructuralChangeBreakpoints,"Runs breakpoint detection, similar to R's strucchange::breakpoints function.",Image
42,ee.Algorithms.TemporalSegmentation.VCT,ee.Algorithms.TemporalSegmentation.VCT,"Vegetation Change Tracker, an automated approach for reconstructing recent forest disturbance history using dense Landsat time series stacks.",Image
