index,name,type,details,parent_id,parent_name,r_type,default,necessary
1,image,Image,The image on which to apply edge detection.,1,ee.Algorithms.CannyEdgeDetector,Image,,1
2,threshold,Float,Threshold value. The pixel is only considered for edge detection if the gradient magnitude is higher than this threshold.,1,ee.Algorithms.CannyEdgeDetector,Float,,1
3,sigma,"Float, default: 1",Sigma value for a gaussian filter applied before edge detection. 0 means apply no filtering.,1,ee.Algorithms.CannyEdgeDetector,Float,1,0
4,features,List,The features comprising the collection.,2,ee.Algorithms.Collection,List,,1
5,imageA,Image,"First image, with N bands.",3,ee.Algorithms.CrossCorrelation,Image,,1
6,imageB,Image,"Second image, must have the same number of bands as imageA.",3,ee.Algorithms.CrossCorrelation,Image,,1
7,maxGap,Integer,The greatest distance a pixel may shift in either X or Y.,3,ee.Algorithms.CrossCorrelation,Integer,,1
8,windowSize,Integer,Size of the window to be compared.,3,ee.Algorithms.CrossCorrelation,Integer,,1
9,maxMaskedFrac,"Float, default: 0","The maximum fraction of pixels within the correlation window that are allowed to be masked. This test is applied at each offset location within the search region. For each offset, the overlapping image patches are compared and a correlation score computed. A pixel within these overlapping patches is considered masked if either of the patches is masked there. If the test fails at any single location in the search region, the output pixel for which the correlation is being computed is considered invalid, and will be masked.",3,ee.Algorithms.CrossCorrelation,Float,0,0
10,value,Object,"A number (interpreted as milliseconds since 1970-01-01T00:00:00Z), or string such as '1996-01-01' or '1996-001' or '1996-01-01T08:00'.",4,ee.Algorithms.Date,Object,,1
11,timeZone,"String, default: null",The time zone (e.g. 'America/Los_Angeles'); defaults to UTC.,4,ee.Algorithms.Date,String,,0
12,input,Object,The object to describe.,5,ee.Algorithms.Describe,Object,,1
13,input,"Object, default: null",An object to convert to a dictionary.  Either a JSON dictionary or a list of alternating key/value pairs.  Keys must be strings.,6,ee.Algorithms.Dictionary,Object,,0
14,image,Image,The image to fill.,7,ee.Algorithms.FMask.fillMinima,Image,,1
15,borderValue,"Long, default: null",The border value.,7,ee.Algorithms.FMask.fillMinima,Long,,0
16,neighborhood,"Integer, default: 50",The size of the neighborhood to compute over.,7,ee.Algorithms.FMask.fillMinima,Integer,50,0
17,input,Image,The scene for which to compute cloud and shadow masks.,8,ee.Algorithms.FMask.matchClouds,Image,,1
18,cloud,Image,Potential cloud mask image. Expected to contain 1s for cloudy pixels and masked pixels everywhere else.,8,ee.Algorithms.FMask.matchClouds,Image,,1
19,shadow,Image,Potential shadow mask image. Expected to contain 1s for shadow pixels and masked pixels everywhere else.,8,ee.Algorithms.FMask.matchClouds,Image,,1
20,btemp,Image,"Brightness temperature image, in Celsius.",8,ee.Algorithms.FMask.matchClouds,Image,,1
21,sceneLow,Float,The 0.175 percentile brightness temperature of the scene.,8,ee.Algorithms.FMask.matchClouds,Float,,1
22,sceneHigh,Float,The 0.825 percentile brightness temperature of the scene.,8,ee.Algorithms.FMask.matchClouds,Float,,1
23,neighborhood,"Integer, default: 50",The neighborhood to pad around each tile.,8,ee.Algorithms.FMask.matchClouds,Integer,50,0
24,geometry,"Geometry, default: null",The geometry of the feature.,9,ee.Algorithms.Feature,Geometry,,0
25,metadata,"Dictionary, default: {}",The properties of the feature.,9,ee.Algorithms.Feature,Dictionary,{},0
26,geometryKey,"String, default: null",Obsolete; has no effect.,9,ee.Algorithms.Feature,String,,0
27,west,Float,The westernmost enclosed longitude. Will be adjusted to lie in the range -180 to 180.,10,ee.Algorithms.GeometryConstructors.BBox,Float,,1
28,south,Float,"The southernmost enclosed latitude. If less than -90 (south pole), will be treated as -90.",10,ee.Algorithms.GeometryConstructors.BBox,Float,,1
29,east,Float,The easternmost enclosed longitude.,10,ee.Algorithms.GeometryConstructors.BBox,Float,,1
30,north,Float,"The northernmost enclosed latitude. If greater than +90 (north pole), will be treated as +90.",10,ee.Algorithms.GeometryConstructors.BBox,Float,,1
31,coordinates,List,"The list of Points or pairs of Numbers in x,y order.",11,ee.Algorithms.GeometryConstructors.LineString,List,,1
32,crs,"Projection, default: null","The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",11,ee.Algorithms.GeometryConstructors.LineString,Projection,,0
33,geodesic,"Boolean, default: null","If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",11,ee.Algorithms.GeometryConstructors.LineString,Boolean,,0
