API1,API2
Kernel.circle,Image.focal_max
Image.convolve,Image.gt
Image.gt,Image.convolve
Kernel.circle,Kernel.add
Kernel.add,Image.convolve
Image.focal_max,Image.updateMask
CannyEdgeDetector,Image.gt
Image.gt,Image.focal_max
ee.Image,Image.normalizedDifference
Image.normalizedDifference,CannyEdgeDetector
ee.Kernel.circle,convolve
toByte,focal_max
multiply,toByte
neq,where
normalizedDifference,convolve
toByte,neq
focal_max,neq
subtract,abs
toByte,where
abs,multiply
where,gt
ee.Kernel.square,convolve
convolve,subtract
