File Name,Geospatial Values,Source Values,Task Values,Time Ranges
avg,0.6,0.7,0.6333333333333333,0.9
script_320000,1.0,0.0,0.0,1.0
script_320001,1.0,0.0,1.0,1.0
script_320002,0.0,0.0,1.0,1.0
script_320003,0.0,1.0,0.0,1.0
script_320004,1.0,1.0,1.0,0.0
script_320005,1.0,0.0,0.0,1.0
script_320006,1.0,1.0,1.0,1.0
script_320007,1.0,1.0,1.0,1.0
script_320008,0.0,1.0,0.0,1.0
script_320009,0.0,1.0,1.0,1.0
script_320010,0.0,0.0,1.0,1.0
script_320011,1.0,1.0,1.0,1.0
script_320012,1.0,1.0,0.0,1.0
script_320013,1.0,0.0,0.0,1.0
script_320014,1.0,1.0,1.0,1.0
script_320015,1.0,1.0,1.0,1.0
script_320016,1.0,1.0,1.0,1.0
script_320017,1.0,0.0,1.0,0.0
script_320018,0.0,0.0,1.0,1.0
script_320019,1.0,1.0,1.0,1.0
script_320020,0.0,1.0,0.0,1.0
script_320021,0.0,1.0,0.0,1.0
script_320022,0.0,1.0,1.0,1.0
script_320023,0.0,1.0,1.0,1.0
script_320024,0.0,1.0,1.0,1.0
script_320025,0.0,1.0,1.0,0.0
script_320026,1.0,1.0,0.0,1.0
script_320027,1.0,1.0,0.0,1.0
script_320028,1.0,1.0,0.0,1.0
script_320029,1.0,0.0,1.0,1.0
