File Name,Geospatial Values,Source Values,Task Values,Time Ranges
script_320000,0.6,1.0,0.6,1.0
script_320001,1.0,1.0,1.0,1.0
script_320002,1.0,1.0,1.0,1.0
script_320003,1.0,1.0,1.0,1.0
script_320004,1.0,1.0,1.0,1.0
script_320005,1.0,1.0,1.0,1.0
script_320006,0.8,1.0,1.0,1.0
script_320007,1.0,1.0,1.0,1.0
script_320008,1.0,1.0,1.0,1.0
script_320009,1.0,1.0,1.0,1.0
script_320010,0.8,1.0,1.0,1.0
script_320011,1.0,1.0,1.0,1.0
script_320012,1.0,1.0,1.0,1.0
script_320013,1.0,1.0,0.6,1.0
script_320014,1.0,1.0,1.0,1.0
script_320015,1.0,1.0,1.0,1.0
script_320016,1.0,1.0,1.0,1.0
script_320017,1.0,1.0,0.8,1.0
script_320018,1.0,1.0,1.0,1.0
script_320019,1.0,1.0,1.0,1.0
script_320020,1.0,1.0,0.8,1.0
script_320021,1.0,1.0,1.0,1.0
script_320022,1.0,1.0,0.6,1.0
script_320023,1.0,1.0,1.0,1.0
script_320024,1.0,1.0,1.0,1.0
script_320025,1.0,1.0,0.8,0.8
script_320026,1.0,1.0,1.0,1.0
script_320027,1.0,1.0,1.0,1.0
script_320028,1.0,1.0,1.0,1.0
script_320029,1.0,1.0,1.0,1.0
avg,0.9733333333333333,1.0,0.94,0.9933333333333334
