File Name,Geospatial Values,Source Values,Task Values,Time Ranges
script_320000,"[-101.05259, 37.93418]",['LANDSAT/LT05/C02/T1_TOA/LT05_031034_20110619'],Topography,2011-06-19 - 2011-06-19
script_320001,Germany(geonameId=2921044),"['MODIS/006/MOD17A2H', 'MODIS/006/MOD17A3HGF', 'NASA/GPM_L3/IMERG_V06', 'OpenLandMap/SOL/SOL_TEXTURE-CLASS_USDA-TT_M/v02', 'USDOS/LSIB_SIMPLE/2017']",Carbon flux,2020-01-01 - 2020-12-31
script_320002,"[-106.06, 37.71]",['LANDSAT/LC08/C02/T1_TOA/LC08_034034_20170608'],Agricultural plant science,2017-06-08 - 2017-06-08
script_320003,South America(geonameId=6255150),['TIGER/2016/Counties'],Boundaries,None - None
script_320004,"[30.110383818311096, 31.609824974226175, 29.972731783841393, 32.56550522134139]","['MODIS/006/MCD12Q1', 'LANDSAT/LE07/C02/T1']",Land use/land cover,2000-01-01 - 2001-12-31
script_320005,"[28.73704118280411, 29.26911282738686, 115.98888884930852, 116.77166472821477]",,Natural hazards,2019-01-01 - 2019-09-30
script_320006,Congo Republic(geonameId=2260494),"['USDOS/LSIB_SIMPLE/2017', 'UMD/hansen/global_forest_change_2015']",Forest science,None - None
script_320007,"[-9.43348, -9.22818, -59.81163, -59.27561]","['FORMA/FORMA_500m', 'UMD/hansen/global_forest_change_2015']",Forest science,2012-01-01 - 2013-01-01
script_320008,"[-122.0808, 37.3947]",['LANDSAT/LC08/C02/T1_TOA'],Others,2017-01-01 - 2017-12-31
script_320009,"[46.852, -121.767]",['CGIAR/SRTM90_V4'],Topography,None - None
script_320010,"[-103.8014, 40.21729]",['LANDSAT/LC08/C02/T1_TOA/LC08_033032_20170719'],Ecosystems,2017-07-19 - 2017-07-19
script_320011,"[37.39358590079781, 43.09844605027055, -95.68487605978851, -87.96148738791351]",['COPERNICUS/S5P/OFFL/L3_CH4'],Air quality,2019-08-01 - 2019-08-15
script_320012,"[-122.262, 37.871]",['LANDSAT/LC08/C01/T1_SR'],Others,2020-01-01 - 2020-12-31
script_320013,San Francisco(geonameId=5391959),['LANDSAT/LC08/C02/T1_TOA/LC08_044034_20160323'],Others,2016-03-23 - 2016-03-23
script_320014,"[37.45, 37.75, -122.35, -122.05]",['LANDSAT/LC08/C01/T1_TOA'],Vegetation,2020-01-01 - 2020-12-31
script_320015,"[39.26, 41.03, 115.25, 117.3]",['LANDSAT/LC08/C01/T1'],Land use/land cover,2020-01-01 - 2021-12-31
script_320016,"[39.26, 41.03, 115.25, 117.3]","['LANDSAT/LT05/C02/T1_TOA', 'LANDSAT/LC08/C02/T1_RT_TOA']",Land use/land cover,2000-01-01 - 2020-12-31
script_320017,Xunwu Xian(geonameId=1787876),"['users/region/XunwuCounty/Xunwu', 'users/region/XunwuCounty/XunwuBoundary', 'users/region/XunwuCounty/Landsat_2018', 'USGS/SRTMGL1_003']",Sustainability,2018-01-01 - 2018-12-31
script_320018,"[-122.2531, 37.6295]","['LANDSAT/LT05/C02/T1_TOA/LT05_044034_19900604', 'LANDSAT/LT05/C02/T1_TOA/LT05_044034_20100611', 'CGIAR/SRTM90_V4']",Vegetation,1990-06-04 - 2010-06-11
script_320019,"[37.60691665494165, 37.93474908792731, -122.68429793191306, -122.00863875222556]",['LANDSAT/LC08/C02/T1'],Land use/land cover,2017-01-01 - 2017-12-31
script_320020,"[29.095141315194134, 29.10954031020994, 116.02116319983233, 116.12004015295733]",['COPERNICUS/S2'],Others,2021-08-01 - 2021-08-08
script_320021,"[-90.08789, 16.38339]",['LANDSAT/LE07/C02/T1'],Vegetation,2000-01-01 - 2001-01-01
script_320022,"[-98.4, 19]",['LANDSAT/LT05/C02/T1'],Land use/land cover,2007-06-01 - 2007-09-30
script_320023,"[38.5, 53.5,  121.5, 135]","['LANDSAT/LC08/C02/T1', 'NASA_USDA/HSL/SMAP10KM_soil_moisture']",Soils,2022-06-01 - 2022-09-30
script_320024,"[-121.069, 50.709]",['USGS/GMTED2010'],Topography,None - None
script_320025,"[29.7, 30, 32.5, 31.7]",['LANDSAT/LE7_TOA_1YEAR/2001'],Land use/land cover,2001-01-01 - 2001-12-31
script_320026,"[40.3754, 43.5012, -96.6397, -90.1401]",['LANDSAT/LC08/C02/T1'],Land surface/agriculture indicators,2023-04-01 - 2023-10-31
script_320027,"[40.3754, 43.5012, -96.6397, -90.1401]","['LANDSAT/LC08/C02/T1', 'users/your_username/your_sample_dataset']",Land surface/agriculture indicators,2023-04-01 - 2023-10-31
script_320028,"[75, 15, 85, 25]",['MODIS/006/MCD12Q1'],Land use/land cover,2020-01-01 - 2020-12-31
script_320029,France(geonameId=3017382),"['USDOS/LWSIB_SIMPLE/2017', 'MODIS/061/MCD15A3H', 'ECMWF/ERA5_LAND/HOURLY', 'UCSB-CHG/CHIRPS/PENTAD']",Agricultural plant science,2020-01-01 - 2020-12-31
